manufacturer,model_name,variant_name,manufacturing_year,showroom_price,fuel_type,engine_capacity_cc,body_type,seating_capacity,transmission,power_bhp,torque_nm,mileage_kmpl,safety_rating,features
Pravaig,DEFY,DEFY,2025,₹39.50 Lakh,Electric,90900,SUV,4,Automatic,402 bhp,N/A,N/A,N/A,"Electric, 500 km range, 90.9 kWh battery, 4 Seats, Cruise Control, Alloy Wheels, Automatic Climate Control"
BMW,M5,M5,2025,₹1.99 Cr,Petrol,4395,Sedan,5,Automatic,717 bhp,750 Nm,49.75 kmpl,5 Star,"Powerful engine, Luxurious interior, Advanced safety features"
BMW,X1,X1,2025,₹50.80 - 54.30 Lakh,Diesel/Petrol,1995,SUV,5,Automatic,147.51 bhp,360 Nm,20.37 kmpl,5 Star,"Spacious interior, Advanced infotainment system, Multiple driving modes"
BMW,X5,X5,2025,₹97.80 Lakh - 1.12 Cr,Diesel/Petrol,2998,SUV,5,Automatic,375.48 bhp,375.48 Nm,12 kmpl,5 Star,"Luxurious interior, Advanced safety features, Powerful performance"
BMW,X7,X7,2025,₹1.31 - 1.35 Cr,Diesel/Petrol,2998,SUV,5,Automatic,375.48 bhp,375.48 Nm,14.31 kmpl,5 Star,"Spacious interior, Advanced safety features, Luxurious design"
BMW,Z4,Z4,2025,₹92.90 - 97.90 Lakh,Petrol,2998,Convertible,2,Manual/Automatic,335 bhp,500 Nm,8.5 kmpl,5 Star,"Sporty design, Powerful engine, Advanced infotainment system"
BMW,M8 Coupe Competition,M8 Coupe Competition,2025,₹2.44 Cr,Petrol,4395,Coupe,5,Automatic,616.87 bhp,750 Nm,8.7 kmpl,5 Star,"High performance, Luxurious interior, Advanced safety features"
BMW,X3,X3,2025,₹75.80 - 77.80 Lakh,Diesel/Petrol,1998,SUV,5,Automatic,194 bhp,400 Nm,17.86 kmpl,5 Star,"Spacious interior, Advanced safety features, Powerful performance"
BMW,M2,M2,2025,₹1.03 Cr,Petrol,2993,Coupe,4,Automatic,473 bhp,550 Nm,10.19 kmpl,5 Star,"Sporty design, Powerful engine, Advanced infotainment system"
BMW,3 Series,3 Series,2025,₹75.90 Lakh,Petrol,2998,Sedan,5,Automatic,368.78 bhp,500 Nm,13.02 kmpl,5 Star,"Luxurious interior, Advanced safety features, Powerful performance"
BMW,5 Series,5 Series,2025,₹74.40 Lakh,Petrol,1998,Sedan,5,Automatic,255 bhp,400 Nm,10.9 kmpl,5 Star,"Luxurious interior, Advanced safety features, Comfortable ride"
BMW,XM,XM,2025,₹2.60 Cr,Petrol,4395,SUV,5,Automatic,643.69 bhp,643.69 Nm,61.9 kmpl,5 Star,"High performance, Luxurious interior, Advanced safety features"
BMW,2 Series Gran Coupe,2 Series Gran Coupe,2025,₹46.90 - 48.90 Lakh,Petrol,1499,Sedan,5,Automatic,154 bhp,220 Nm,16.35 kmpl,5 Star,"Stylish design, Comfortable interior, Advanced safety features"
BMW,7 Series,7 Series,2025,₹1.84 - 1.87 Cr,Diesel/Petrol,2998,Sedan,5,Automatic,375.48 bhp,375.48 Nm,8 kmpl,5 Star,"Luxurious interior, Advanced safety features, Powerful performance"
BMW,iX1,iX1,2025,₹49 Lakh,Electric,0,SUV,5,Automatic,201 bhp,400 Nm,N/A,5 Star,"Electric powertrain, Advanced safety features, Spacious interior"
BMW,M4 Competition,M4 Competition,2025,₹1.53 Cr,Petrol,2993,Coupe,4,Automatic,503 bhp,600 Nm,9.7 kmpl,5 Star,"Sporty design, Powerful engine, Advanced infotainment system"
BMW,i7,i7,2025,₹2.05 - 2.50 Cr,Electric,0,Sedan,5,Automatic,650.39 bhp,1000 Nm,N/A,5 Star,"Electric powertrain, Luxurious interior, Advanced safety features"
BMW,M4 CS,M4 CS,2025,₹1.89 Cr,Petrol,2993,Coupe,4,Automatic,543 bhp,600 Nm,9.7 kmpl,5 Star,"Sporty design, Powerful engine, Advanced infotainment system"
BMW,iX,iX,2025,₹1.40 Cr,Electric,0,SUV,5,Automatic,516.29 bhp,1000 Nm,N/A,5 Star,"Electric powertrain, Luxurious interior, Advanced safety features"
BMW,3 Series Long Wheelbase,3 Series Long Wheelbase,2025,₹62 - 65 Lakh,Diesel/Petrol,1998,Sedan,5,Automatic,254.79 bhp,400 Nm,19.61 kmpl,5 Star,"Spacious interior, Advanced safety features, Comfortable ride"
BMW,i4,i4,2025,₹72.50 - 77.50 Lakh,Electric,0,Sedan,5,Automatic,335.25 bhp,400 Nm,N/A,5 Star,"Electric powertrain, Luxurious interior, Advanced safety features"
BMW,i5,i5,2025,₹1.20 Cr,Electric,0,Sedan,5,Automatic,592.73 bhp,800 Nm,N/A,5 Star,"Electric powertrain, Luxurious interior, Advanced safety features"
Bentley,Flying Spur,Flying Spur,2025,₹5.25 - 7.60 Cr,Petrol,5950,Sedan,4,Automatic,626,N/A,12.5,N/A,"Luxury interior, Advanced infotainment system, High-performance engine, Multiple driving modes"
Bentley,Continental,Continental,2025,₹5.23 - 8.45 Cr,Petrol,5993,Coupe,4,Automatic,650,N/A,12.9,N/A,"Luxury interior, Advanced infotainment system, High-performance engine, Multiple driving modes"
Bentley,Bentayga,Bentayga,2025,₹5 - 6.75 Cr,Petrol,3993,SUV,4,Automatic,542,N/A,8.6,N/A,"Luxury interior, Advanced infotainment system, High-performance engine, Multiple driving modes"
Audi,Q7,Q7,2025,₹90.48 - 99.81 Lakh,Petrol,2995,SUV,7,Automatic,335 bhp,500 Nm,11 kmpl,5 Star,"Park Assist Plus with 360-degree camera, Luxurious interior, Advanced infotainment system"
Audi,A4,A4,2025,₹47.93 - 57.11 Lakh,Petrol,1984,Sedan,5,Automatic,207 bhp,320 Nm,15 kmpl,5 Star,"Leather upholstery, Sunroof, Advanced safety features"
Audi,Q3,Q3,2025,₹45.24 - 55.64 Lakh,Petrol,1984,SUV,5,Automatic,187.74 bhp,320 Nm,10.14 kmpl,5 Star,"Panoramic sunroof, Virtual cockpit, Adaptive cruise control"
Audi,A6,A6,2025,₹66.05 - 72.43 Lakh,Petrol,1984,Sedan,5,Automatic,241.3 bhp,400 Nm,14.11 kmpl,5 Star,"Matrix LED headlights, Bang & Olufsen sound system, Advanced driver assistance systems"
Audi,Q5,Q5,2025,₹68 - 73.79 Lakh,Petrol,1984,SUV,5,Automatic,245.59 bhp,400 Nm,13.47 kmpl,5 Star,"Quattro all-wheel drive, Adaptive air suspension, Virtual cockpit"
Audi,Q8,Q8,2025,₹1.17 Cr,Petrol,2995,SUV,5,Automatic,335 bhp,500 Nm,10 kmpl,5 Star,"Luxury interior, Advanced infotainment system, 360-degree camera"
Audi,RS Q8,RS Q8,2025,₹2.49 Cr,Petrol,3998,SUV,5,Automatic,632 bhp,850 Nm,9 kmpl,5 Star,"Sporty design, High-performance engine, Advanced safety features"
Audi,Q3 Sportback,Q3 Sportback,2025,₹56.24 - 56.94 Lakh,Petrol,1984,SUV,5,Automatic,187.74 bhp,320 Nm,10.14 kmpl,5 Star,"Sporty design, Virtual cockpit, Panoramic sunroof"
Audi,RS e-tron GT,RS e-tron GT,2025,₹2.05 Cr,Electric,0,Coupé,5,Automatic,636.98 bhp,850 Nm,N/A,5 Star,"High-performance electric motor, Advanced infotainment system, Sporty design"
Audi,e-tron GT,e-tron GT,2025,₹1.72 Cr,Electric,0,Coupé,5,Automatic,522.99 bhp,640 Nm,N/A,5 Star,"Luxury interior, Advanced safety features, High-performance electric motor"
Audi,Q8 e-tron,Q8 e-tron,2025,₹1.15 - 1.27 Cr,Electric,0,SUV,5,Automatic,402.3 bhp,660 Nm,N/A,5 Star,"Long electric range, Luxury interior, Advanced safety features"
Audi,Q8 Sportback e-tron,Q8 Sportback e-tron,2025,₹1.19 - 1.32 Cr,Electric,0,SUV,5,Automatic,402.3 bhp,660 Nm,N/A,5 Star,"Sporty design, Long electric range, Advanced safety features"
Audi,S5 Sportback,S5 Sportback,2025,₹77.77 - 85.10 Lakh,Petrol,2994,Coupé,5,Automatic,348.66 bhp,500 Nm,10.6 kmpl,5 Star,"Sporty design, High-performance engine, Luxury interior"
MG,Windsor EV,Windsor EV,2025,₹14 - 18.31 Lakh,Electric,0,Hatchback,5,Automatic,134 bhp,N/A,N/A,5 Star,"Electric, Automatic, 449 km range, 52.9 kWh battery, 6 Airbags"
MG,Hector,Hector,2025,₹14.25 - 23.14 Lakh,Diesel/Petrol,1956,SUV,5,Manual/Automatic,167.67 bhp,N/A,15.58 kmpl,5 Star,"Diesel/Petrol, 15.58 kmpl, Manual/Automatic, 5 Star Safety"
MG,Comet EV,Comet EV,2025,₹7.50 - 10 Lakh,Electric,0,Hatchback,4,Automatic,41.42 bhp,N/A,N/A,N/A,"Electric, Automatic, 230 km range, 17.4 kWh battery, 2 Airbags"
MG,M9,M9,2025,₹69.90 Lakh,Electric,0,SUV,7,Automatic,242 bhp,N/A,N/A,7 Airbags,"Electric, Automatic, 548 km range, 90 kWh battery, 7 Airbags"
MG,Cyberster,Cyberster,2025,₹75 Lakh,Electric,0,Convertible,2,Automatic,503 bhp,N/A,N/A,4 Airbags,"Electric, Automatic, 580 km range, 77 kWh battery, 4 Airbags"
MG,Astor,Astor,2025,₹11.30 - 17.56 Lakh,Petrol,1498,SUV,5,Manual/Automatic,108.49 bhp,N/A,15.43 kmpl,5 Star,"Petrol, 15.43 kmpl, Manual/Automatic, 5 Star Safety"
